bike_latitude,bike_longitude,free_bikes
43.665269,-79.319796,17
43.67142,-79.445947,8
43.666224,-79.317693,21
43.653236,-79.376716,1
43.663722,-79.380288,17
43.657763,-79.389165,7
43.656729,-79.382736,13
43.664467,-79.414783,0
43.675492,-79.388858,9
43.674991,-79.396273,7
43.671944,-79.387778,4
43.662365,-79.351104,15
43.646144,-79.377962,41
43.663993,-79.358534,8
43.657266,-79.374756,14
43.6672144,-79.3452697,14
43.673939,-79.441159,0
43.657991,-79.340075,9
43.66745,-79.329408,22
43.672453,-79.338259,5
43.6592088,-79.3348396,15
43.689211,-79.35438,8
43.656927,-79.378497,5
43.658295,-79.372346,5
43.6940155,-79.2889842,3
43.6809164,-79.4229684,0
43.6910667,-79.39535,2
43.6975969,-79.39654,0
43.639832,-79.395954,20
43.667333,-79.399429,8
43.6480008,-79.383177,1
43.656518,-79.389099,4
43.687999,-79.38906,2
43.6563889,-79.45166666666667,7
43.639179,-79.399595,9
43.6616667,-79.40138888888889,0
43.66666667,-79.45833333333334,7
43.657192,-79.452559,4
43.6576,-79.4032,9
43.660694,-79.379052,7
43.636533,-79.395854,10
43.659777,-79.382767,4
43.643667,-79.380414,5
43.666233,-79.373327,10
43.640114,-79.393249,14
43.653766,-79.4016759,7
43.6538888888889,-79.4413888888889,4
43.6508333333333,-79.4430555555556,14
43.651238,-79.43868,9
43.6544915,-79.422634,8
43.6543604,-79.4655296,5
43.635932,-79.465083,15
43.654501,-79.460053,10
43.634896,-79.467763,18
43.6314,-79.4304,8
43.636731,-79.444966,10
43.6534268,-79.4512787,4
43.7112153,-79.39894,0
43.655227,-79.39201,1
43.685167,-79.34962,6
43.6704537,-79.39014,0
43.6691099,-79.38551,16
43.641389,-79.404444,14
43.643834,-79.396649,9
43.6545174,-79.3895315,4
43.665846,-79.404998,1
43.6461,-79.3895,4
43.671349,-79.29451,11
43.667208,-79.312315,15
43.669328,-79.288949,8
43.672571,-79.289,8
43.638497,-79.39192,17
43.662771,-79.315223,13
43.66852,-79.363525,7
43.652473,-79.401456,11
43.643975,-79.419576,22
43.651318,-79.36023,18
43.656094,-79.381484,8
43.670318,-79.405181,6
43.676667,-79.416111,0
43.640634,-79.435841,22
43.639444,-79.423611,20
43.67,-79.42083333333333,3
43.671389,-79.416389,0
43.68,-79.42500000000001,0
43.6394444,-79.42527777777778,14
43.675791,-79.40698,1
43.675556,-79.410278,0
43.674444,-79.414722,1
43.671513,-79.408317,3
43.6783213,-79.35822,0
43.6848652,-79.356602,3
43.68395,-79.347046,6
43.690537,-79.341307,5
43.704461,-79.423122,0
43.659195,-79.329196,18
43.651885,-79.3649,11
43.682645,-79.377557,11
43.6475,-79.43305555555555,13
43.6494896,-79.393535,0
43.671526,-79.44874,5
43.6452972,-79.3827914,17
43.6452091,-79.3960744,14
43.6555556,-79.43361111111112,11
43.678077,-79.390328,5
43.645665,-79.415345,18
43.6493472,-79.42668,2
43.660207,-79.361275,26
43.648655,-79.367061,25
43.648711,-79.389728,17
43.6605603,-79.3437663,11
43.6561111,-79.36138888888888,8
43.652219,-79.354455,22
43.650279,-79.356832,14
43.649147,-79.395504,5
43.643795,-79.375413,9
43.662085,-79.397735,0
43.659575,-79.365769,9
43.65205,-79.362198,14
43.668456,-79.393899,0
43.639052,-79.399792,10
43.6448617,-79.42822,13
43.6409,-79.432837,18
43.660414,-79.415646,4
43.661975,-79.407896,6
43.65905,-79.422988,11
43.66,-79.4088888888889,11
43.690564,-79.326319,1
43.688325,-79.300463,0
43.65716,-79.46478,23
43.6772,-79.35858,9
43.662712,-79.379903,16
43.658938,-79.383518,11
43.683378,-79.322961,10
43.6425636,-79.3762,13
43.6521,-79.4486,9
43.669969,-79.386532,2
43.633473,-79.425679,12
43.630254,-79.420317,5
43.662403,-79.423098,9
43.656945,-79.424911,15
43.6817346,-79.4184725,2
43.683296,-79.418734,0
43.673831,-79.281455,16
43.666325,-79.3014,17
43.651145,-79.423742,15
43.654905,-79.398448,6
43.651118,-79.369411,23
43.6571,-79.4056,11
43.652823,-79.393388,23
43.665527,-79.387499,3
43.6582,-79.3768,7
43.671172,-79.354704,1
43.677076,-79.35667,1
43.680223,-79.344062,9
43.678401,-79.346289,7
43.681991,-79.329455,3
43.6422222,-79.41111111111111,14
43.663808,-79.410491,3
43.6666667,-79.41166666666668,1
43.6638889,-79.41888888888889,12
43.661705,-79.425734,2
43.6686111,-79.42027777777778,7
43.665327,-79.43235,5
43.657343,-79.43112,5
43.645324,-79.40345,22
43.650256,-79.36163,15
43.651111111111106,-79.4213888888889,18
43.656296,-79.414663,9
43.651281,-79.411717,8
43.65277778,-79.42972222,13
43.655,-79.418889,15
43.668553,-79.338673,19
43.663912,-79.327987,19
43.6462176,-79.3855048,10
43.69595,-79.328535,14
43.6753188,-79.3462789,4
43.6720273,-79.3470557,9
43.637981,-79.424146,12
43.640885,-79.416379,7
43.6552778,-79.36583333333333,6
43.6712581,-79.376367,3
43.664524,-79.36793,18
43.665867,-79.362506,11
43.648575,-79.380042,0
43.643473,-79.390477,2
43.645859,-79.38783,26
43.662132,-79.3656796,15
43.640722,-79.391051,0
43.66207,-79.37617,3
43.660206,-79.3244,10
43.668633,-79.291162,8
43.665801,-79.384796,5
43.668153,-79.38891,0
43.657024,-79.377257,1
43.662862,-79.383572,4
43.7063473,-79.40161,2
43.6978701,-79.39419,13
43.696708,-79.40045,2
43.6476616,-79.37549,2
43.6487245,-79.36839,19
43.64852,-79.380576,2
43.656026,-79.385327,1
43.645323,-79.395003,10
43.677778,-79.405556,6
43.641646,-79.375308,28
43.646162,-79.378912,11
43.687323,-79.304848,2
43.668991,-79.379385,2
43.6622222,-79.3825,4
43.64333333333333,-79.40555555555557,9
43.6575,-79.39527777777778,2
43.657424,-79.381019,7
43.64595,-79.378761,7
43.668427,-79.38725,2
43.669604,-79.381171,4
43.661673,-79.337789,14
43.665656,-79.352055,9
43.6308933,-79.4722622,17
43.6224434,-79.480284,30
43.66986,-79.398443,9
43.659471,-79.350325,8
43.650492,-79.450842,15
43.640255,-79.439223,15
43.637922,-79.431734,14
