latitude,longitude,free_bikes
43.665269,-79.319796,18
43.67142,-79.445947,0
43.666224,-79.317693,18
43.653236,-79.376716,20
43.663722,-79.380288,21
43.657763,-79.389165,2
43.656729,-79.382736,20
