bike_latitude,bike_longitude,free_bikes
43.665269,-79.319796,17
43.67142,-79.445947,13
43.666224,-79.317693,18
43.653236,-79.376716,2
43.663722,-79.380288,6
43.657763,-79.389165,15
43.656729,-79.382736,11
43.664467,-79.414783,3
43.675492,-79.388858,13
43.674991,-79.396273,5
43.671944,-79.387778,10
43.662365,-79.351104,16
43.646144,-79.377962,6
43.663993,-79.358534,10
43.657266,-79.374756,22
43.6672144,-79.3452697,8
43.673939,-79.441159,3
43.657991,-79.340075,9
43.66745,-79.329408,22
43.672453,-79.338259,7
43.6592088,-79.3348396,6
43.689211,-79.35438,3
43.656927,-79.378497,11
43.658295,-79.372346,8
43.6940155,-79.2889842,2
43.6809164,-79.4229684,7
43.6910667,-79.39535,8
43.6975969,-79.39654,0
43.639832,-79.395954,33
43.667333,-79.399429,5
43.6480008,-79.383177,1
43.656518,-79.389099,2
43.687999,-79.38906,3
43.6563889,-79.45166666666667,4
43.639179,-79.399595,16
43.6616667,-79.40138888888889,5
43.66666667,-79.45833333333334,13
43.657192,-79.452559,8
43.6576,-79.4032,12
43.660694,-79.379052,12
43.636533,-79.395854,25
43.659777,-79.382767,11
43.643667,-79.380414,0
43.666233,-79.373327,12
43.640114,-79.393249,14
43.653766,-79.4016759,9
43.6538888888889,-79.4413888888889,3
43.6508333333333,-79.4430555555556,0
43.651238,-79.43868,3
43.6544915,-79.422634,10
43.6543604,-79.4655296,4
43.635932,-79.465083,16
43.654501,-79.460053,12
43.634896,-79.467763,19
43.6314,-79.4304,4
43.636731,-79.444966,1
43.6534268,-79.4512787,3
43.7112153,-79.39894,1
43.655227,-79.39201,10
43.685167,-79.34962,9
43.6704537,-79.39014,1
43.6691099,-79.38551,12
43.641389,-79.404444,15
43.643834,-79.396649,10
43.6545174,-79.3895315,6
43.665846,-79.404998,8
43.6461,-79.3895,2
43.671349,-79.29451,5
43.667208,-79.312315,8
43.669328,-79.288949,10
43.672571,-79.289,9
43.638497,-79.39192,18
43.662771,-79.315223,11
43.66852,-79.363525,6
43.652473,-79.401456,8
43.643975,-79.419576,21
43.651318,-79.36023,11
43.656094,-79.381484,10
43.670318,-79.405181,8
43.676667,-79.416111,10
43.640634,-79.435841,12
43.639444,-79.423611,21
43.67,-79.42083333333333,5
43.671389,-79.416389,4
43.68,-79.42500000000001,11
43.6394444,-79.42527777777778,15
43.675791,-79.40698,4
43.675556,-79.410278,8
43.674444,-79.414722,10
43.671513,-79.408317,12
43.6783213,-79.35822,14
43.6848652,-79.356602,10
43.68395,-79.347046,12
43.690537,-79.341307,11
43.704461,-79.423122,1
43.659195,-79.329196,13
43.651885,-79.3649,8
43.682645,-79.377557,17
43.6475,-79.43305555555555,11
43.6494896,-79.393535,6
43.671526,-79.44874,0
43.6452972,-79.3827914,2
43.6452091,-79.3960744,7
43.6555556,-79.43361111111112,14
43.678077,-79.390328,4
43.645665,-79.415345,15
43.6493472,-79.42668,3
43.660207,-79.361275,18
43.648655,-79.367061,22
43.648711,-79.389728,3
43.6605603,-79.3437663,8
43.6561111,-79.36138888888888,5
43.652219,-79.354455,24
43.650279,-79.356832,9
43.649147,-79.395504,7
43.643795,-79.375413,19
